Description,Price,URL
"OMEN 30L Gaming Desktop PC, NVIDIA GeForce RTX 3080 Graphics Card, 10th Generation Intel Core i9-10850K Processor, 32 GB RAM, 1 TB SSD and 2 TB Hard Drive, Windows 10 Home (GT13-0092, 2020)","$3,007.00",https://www.amazon.com/OMEN-Generation-i9-10850K-Processor-GT13-0092/dp/B08KHD3Q5Z/ref=sr_1_1?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818817&sprefix=rtx+%2Caps%2C194&sr=8-1
"2021 Newest OMEN 30L Gaming Desktop PC, NVIDIA GeForce RTX 3080 Graphics Card, 10th Generation Intel Core i9-10850K Processor, 32 GB RAM, 1 TB SSD and 2 TB Hard Drive, Win10 Home + Oydisen Cloth","$3,799.99",https://www.amazon.com/Desktop-Graphics-Generation-i9-10850K-Processor/dp/B08R6LGF9L/ref=sr_1_13?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818817&sprefix=rtx+%2Caps%2C194&sr=8-13
Bykski GPU Waterblock G1/4 Full Cover GPU Water Cooler Water Block PC Liquid Cooling Cooler for Graphics Card Gigabyte RTX 3080 RTX 3090 Gaming Eagle OC (5V 3-Pin ARGB Aura RBW LED Lights),$188.29,https://www.amazon.com/Bykski-Waterblock-Cooling-Graphics-Gigabyte/dp/B08LN4YSSQ/ref=sr_1_16?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818817&sprefix=rtx+%2Caps%2C194&sr=8-16
"ASRock Challenger D Radeon RX 5600 XT OC Graphics Card, 6GB (14Gbps) 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready AMD Eyefinity Technology 1 x HDMI 2.0b 3 x DisplayPort 1.4 w/ Mytrix HDMI Cable",$889.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03951621N83EMZ2L4QT5&url=%2FChallenger-Graphics-Eyefinity-Technology-DisplayPort%2Fdp%2FB08Y3M97TF%2Fref%3Dsr_1_20_sspa%3Fcrid%3D320Y6M8VL6LF8%26dchild%3D1%26keywords%3DRTX%2B3080%26qid%3D1619818817%26sprefix%3Drtx%2B%252Caps%252C194%26sr%3D8-20-spons%26psc%3D1%26smid%3DA1Z8HN9APE8NTZ&qualifier=1619818817&id=84566035551320&widgetName=sp_btf
"Newst EV GA GeForce RTX 3080 FTW3 Gaming Graphics Card, 10GB GDDR6X, PCI Express 4.0, HDCP Ready, iCX3 Technology, ARGB LED, Metal Backplate, 1 x HDMI 2.1 3 x DisplayPort 1.4a w/ AllyFlex HDMI","$2,980.00",https://www.amazon.com/Graphics-Technology-Backplate-DisplayPort-AllyFlex/dp/B0936DLJHS/ref=sr_1_20?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818819&sprefix=rtx+%2Caps%2C194&sr=8-20
"2021 Newst ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card- PCIe 4.0, 10GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings w/ AllyFlex HDMI","$2,500.00",https://www.amazon.com/ASUS-Graphics-DisplayPort-Bearings-AllyFlex/dp/B092KNJH5M/ref=sr_1_25?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818819&sprefix=rtx+%2Caps%2C194&sr=8-25
MSI Radeon RX 5500 XT Gaming X Graphics Card 8GB 128-Bit GDDR6 PCIe 4.0 DirectX 12 HDCP Ready Supremely Silent TORX Fan 3.0 1x HDMI 2.0b 3X DisplayPort 1.4 w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz),$847.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01911052D29T13JWMTFV&url=%2FGraphics-128-Bit-DirectX-Supremely-DisplayPort%2Fdp%2FB0912CJ1TW%2Fref%3Dsr_1_28_sspa%3Fcrid%3D320Y6M8VL6LF8%26dchild%3D1%26keywords%3DRTX%2B3080%26qid%3D1619818819%26sprefix%3Drtx%2B%252Caps%252C194%26sr%3D8-28-spons%26psc%3D1%26smid%3DA1Z8HN9APE8NTZ&qualifier=1619818819&id=7850836401376500&widgetName=sp_mtf
Sapphire 11308-01-20G Nitro+ AMD Radeon RX 6900 XT PCIe 4.0 Gaming Graphics Card with 16GB GDDR6,"$2,388.67",https://www.amazon.com/Sapphire-11308-01-20G-Radeon-Gaming-Graphics/dp/B08QQFW9YS/ref=sr_1_35?crid=320Y6M8VL6LF8&dchild=1&keywords=RTX+3080&qid=1619818819&sprefix=rtx+%2Caps%2C194&sr=8-35
MSI Radeon RX 5500 XT Gaming X  Graphics Card 8GB 128-Bit GDDR6 PCI Express 4.0 DirectX 12 HDCP Ready Supremely Silent TORX Fan 3.0 1x HDMI 2.0b 3X DisplayPort 1.4 w/ Mytrix HDMI Cable,$847.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A09344012YVX30QFK7FDB&url=%2FGraphics-128-Bit-Express-Supremely-DisplayPort%2Fdp%2FB091233QNG%2Fref%3Dsr_1_37_sspa%3Fcrid%3D320Y6M8VL6LF8%26dchild%3D1%26keywords%3DRTX%2B3080%26qid%3D1619818819%26sprefix%3Drtx%2B%252Caps%252C194%26sr%3D8-37-spons%26psc%3D1&qualifier=1619818819&id=7850836401376500&widgetName=sp_btf
BTO NVIDIA GeForce GT 730 4GB VGA/DVI/HDMI PCI-E Video Graphics Card for Tower / Desktop,$129.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A09534772N2NT41VO968G&url=%2FBTO-NVIDIA-GeForce-Graphics-Desktop%2Fdp%2FB08HZFZH7Y%2Fref%3Dsr_1_38_sspa%3Fcrid%3D320Y6M8VL6LF8%26dchild%3D1%26keywords%3DRTX%2B3080%26qid%3D1619818819%26sprefix%3Drtx%2B%252Caps%252C194%26sr%3D8-38-spons%26psc%3D1&qualifier=1619818819&id=7850836401376500&widgetName=sp_btf
